particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts
3286,95,0.17877449236530943,0.002777628333645332,-0.0073937532666126906,0.9090511564589853,30
235,95,0.01394096133178417,0.0004416772992261697,0.060372413692111444,0.46510771317378247,30
45,94,0.03434626525828843,0.0016393842342742207,0.03280738767314622,0.5747321019426167,30
811,94,0.265608671753572,0.0032521192652445927,-0.09664980581733947,0.9748894078804263,30
6039,93,0.062140271898276735,0.0008038546131438098,-0.040204690547296786,1.0652979851407849,30
3908,93,0.02874358059586807,0.001643354936740356,0.10052769330800175,0.5618720335440734,30
1428,93,0.10193847940855388,0.01428781730522515,0.5656063224195622,0.7733377511248059,30
6966,93,0.0016847082755516998,0.0006830934426003883,0.07533155174004871,0.1031669405297481,30
4642,92,0.7555934142169586,0.017884136866297803,-0.94867751492593,1.2264599054431307,30
616,92,0.0921147236172268,0.0029707266626401796,0.17620091262952858,0.6832774817281689,30
729,91,0.08778064161046849,0.004676058067598597,0.19032569047813602,0.8305117090999691,30
5280,90,0.11388529321259765,0.0025707858292407745,0.125417454071638,0.7748757020531928,30
491,90,0.08193891565598925,0.020526662719547648,1.2023161087837055,0.5084478460406712,30
1757,89,0.31174841203846043,0.010968451054291116,-0.3523673909730321,1.1193087854567634,30
36,89,0.3148252280418564,0.015987649793799845,0.3932065285722231,0.9530779415288226,30
2578,88,0.38633444760202246,0.009404673907338923,-0.3345541808577219,1.146538053579658,30
2340,88,0.19848496827980214,0.0040552175706222125,-0.18847302583549616,1.0869081361029882,30
2851,88,0.3423321185150593,0.00508034817278662,-0.18038216150810174,1.0403264227831477,30
5225,87,0.11884016076241231,0.0051679346305330155,0.2943911576897283,0.7396134078133498,30
3068,86,0.3560516419699343,0.030151250158667684,0.5998991917127379,1.0210434684474847,30
1070,86,0.16337276299779654,0.0022633703679677494,0.18575964199935868,0.7611908895843006,30
2951,86,0.4162999465583909,0.013821454377963133,-0.535082227034286,1.2031940233085596,30
3038,86,0.27364819685243247,0.00847614525392568,0.3538620907240905,0.874569193283353,30
1211,86,0.14262736102520981,0.006160900711983021,-0.0765451783854714,0.8235971582400436,30
888,86,0.03008886983468684,0.003256012132220128,0.22858721857294573,0.47602639361180177,30
1410,85,0.007852604447107576,0.0002877874316226668,0.0020017462150411325,0.7821426496349083,30
7214,85,0.11224200637445819,0.0027721933603706787,0.08175741293164303,0.8926363479539511,30
4821,84,0.15644268980902928,0.006271550829969283,-0.08500909725834639,0.9448973350166547,30
7281,82,0.18820651400212546,0.0022689131392551088,-0.08133189914209295,1.0184372966898905,30
5051,81,0.21258008937688613,0.0048380992706887,0.10661088984668537,1.0264142759983619,30
1206,81,0.08206285400257542,0.004679692534107415,0.24608866085615647,0.7274196648846349,30
