t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
80.0,91950.0,245.94448852539062,384.864013671875,299.9728088378906,139.6535200535128,219.5449840010015,0.0,73296.0,0.19564363285780928,1.0277842580887295,0.0
81.0,92946.0,246.60403442382812,385.40557861328125,298.7185974121094,140.26084267158484,220.51077071199947,0.0,73897.0,0.05771334965038477,0.9744524878144034,0.0
82.0,94166.0,247.53665161132812,386.2197265625,297.5016784667969,141.04894698959387,221.84003245582164,0.0,75323.0,-0.38977475763635994,1.0802100455900359,0.0
83.0,95470.0,248.68991088867188,387.5070495605469,298.7747802734375,141.82776707945666,223.4390297150433,0.0,76351.0,-0.03458572389456549,1.600743065734207,0.0
84.0,96545.0,248.9873046875,387.9397277832031,300.18463134765625,142.53294506571794,224.58183324023273,0.0,77017.0,-0.5370741249362254,1.5435161139779439,0.0
85.0,97455.0,249.09678649902344,388.0958251953125,300.6935119628906,143.1159032765642,225.67720306558903,0.0,77738.0,0.6287591433272155,0.7204568007272201,0.0
86.0,98799.0,249.21194458007812,388.2585754394531,301.22381591796875,143.9427870689254,227.50164834567684,0.0,78693.0,0.3063711231138768,0.3987176701022008,0.0
87.0,99819.0,249.21194458007812,388.2585754394531,301.22381591796875,144.53012179642135,228.5475880424031,0.0,80046.0,0.1583509926700799,-0.11923202026292756,0.0
88.0,100973.0,249.21194458007812,388.2585754394531,301.22381591796875,145.22874398356794,229.8978033822855,0.0,80823.0,-0.11479729576819864,0.22457978569713077,0.0
89.0,102248.0,249.21194458007812,388.2585754394531,301.22381591796875,145.99847637333792,231.48650068632512,0.0,82074.0,-0.092293654008472,-0.3161841934922336,0.0
90.0,103437.0,249.29684448242188,388.3312072753906,301.0801696777344,146.7162737427251,232.43278598338918,0.0,83676.0,0.3633850399567109,0.07166808035225358,0.0
91.0,104583.0,249.49710083007812,388.5021667480469,300.7418212890625,147.36853021323967,233.5285849599543,0.0,84095.0,0.11008853658586304,0.21816721044388032,0.0
92.0,105799.0,249.9003143310547,388.8453674316406,300.0625915527344,148.05599836465754,234.67424230196207,0.0,85485.0,0.04802224536661015,0.079149057647669,0.0
93.0,106925.0,250.42916870117188,389.293212890625,299.1761779785156,148.69152562123128,235.25177991620225,0.0,86105.0,0.1607553352209834,0.0193686054148543,0.0
94.0,108141.0,250.42916870117188,389.293212890625,299.1761779785156,149.37226046936425,236.02754076590298,0.0,87574.0,0.12583863611519064,0.6322916559021792,0.0
95.0,109167.0,250.63262939453125,389.4649353027344,298.8363952636719,149.96525356768342,236.61593351158848,0.0,88398.0,-0.14323708802896817,1.0086659554490325,0.0
96.0,110283.0,251.3001708984375,390.1048278808594,298.5191650390625,150.5629375166902,237.0232056149777,0.0,89361.0,0.03085742224425303,0.9681920280724512,0.0
97.0,111241.0,251.47010803222656,390.3427734375,299.21649169921875,151.0774534724083,237.64890069175578,0.0,89933.0,0.3069627899884608,0.5776871627244873,0.0
98.0,112278.0,252.50772094726562,391.31939697265625,298.532470703125,151.6927864420625,238.404278466279,0.0,91066.0,-0.0650476980346184,0.6689893290927102,0.0
99.0,113347.0,253.42665100097656,392.2908020019531,299.0340270996094,152.3091001734215,239.09391450850077,0.0,92025.0,0.4736097872762457,0.4868732400775002,0.0
100.0,114390.0,254.00291442871094,392.9236145019531,299.6099853515625,152.9237919783279,239.83880001017135,0.0,92638.0,0.1567549001539419,1.081152558524991,0.0
101.0,115484.0,254.6793212890625,393.6794128417969,300.4551086425781,153.52782648933095,240.30397416605493,0.0,93865.0,0.07865035044585511,1.261804752406647,0.0
102.0,116609.0,255.79739379882812,394.78118896484375,300.2221984863281,154.1689802650309,241.26748641290231,0.0,94251.0,0.0037893422608021865,1.3375458922586745,0.0
103.0,117756.0,256.9185791015625,395.9661865234375,300.8995666503906,154.81214302397132,242.14613348312744,0.0,95121.0,0.4873324305921187,0.7355818727043015,0.0
104.0,118772.0,257.3821105957031,396.54132080078125,302.2151184082031,155.34285114939675,243.50770008359078,0.0,95926.0,-0.07018992859138962,-0.22498949490687892,0.0
105.0,120184.0,258.2604675292969,397.4296569824219,302.302490234375,156.0981411733315,244.9346851713738,0.0,97263.0,-0.36305771008039756,-0.20848007789300027,0.0
106.0,121190.0,259.29443359375,398.4205017089844,301.7308044433594,156.64352897648394,245.93312098192044,0.0,98537.0,0.3743902911984378,-0.24771557247760256,0.0
107.0,122308.0,260.1145935058594,399.15277099609375,300.65362548828125,157.26146720922893,246.71299113800703,0.0,95986.0,0.3833158024928025,0.6235398340200504,0.0
108.0,123336.0,260.3393249511719,399.4324951171875,301.2906799316406,157.84109051249962,247.7175811281872,0.0,100475.0,0.3905927814836332,0.33702457756822923,0.0
