t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved,Rfix_px
164.0,240323.0,342.21630859375,351.032470703125,337.30035400390625,209.90529390434443,315.3561478619748,0.0,225499.0,-0.1726136466885464,2.1710867667551383,0.0,405.04276679111865
165.0,241169.0,343.9698181152344,352.0938720703125,335.76898193359375,210.34463684171465,315.86864358463947,0.0,226025.0,1.8989388247182433,4.1506440506339,0.0,413.5749248084231
166.0,241628.0,345.2975158691406,353.2501220703125,334.9779052734375,210.56413310983396,316.22776601683796,0.0,227916.0,-1.7543945787103894,0.4038391119490825,0.0,413.5749248084231
167.0,243784.0,348.77886962890625,353.4872741699219,333.6328430175781,211.6302006726496,317.55448351374895,0.0,226974.0,1.1369608828028959,3.0137048778042868,0.0,416.4983367162727
168.0,245186.0,349.98931884765625,354.7967224121094,333.8136291503906,212.2279118013928,318.6106558160575,0.0,231390.0,-3.3253171719275088,0.559368081119942,0.0,416.4983367162727
169.0,247887.0,351.73944091796875,356.93292236328125,334.9520568847656,213.36733117290535,320.6009981269553,0.0,232180.0,-3.5883064795139035,0.009481041166623072,0.0,416.4983367162727
170.0,248242.0,352.645751953125,357.80914306640625,334.72027587890625,213.55308229652752,321.0015576286196,0.0,233115.0,0.02044119136974132,2.133593212198093,0.0,416.4983367162727
171.0,250164.0,353.94189453125,356.0179443359375,333.2288818359375,214.47245923587556,321.86487848163864,0.0,232847.0,1.1096522016475774,1.775529643226207,0.0,419.31799294700124
172.0,250400.0,354.7403564453125,357.1665954589844,334.3907470703125,214.57021290721644,322.02484376209236,0.0,236504.0,-10.227036777650369,-0.9271026623256944,0.0,419.31799294700124
173.0,251591.0,356.0945129394531,356.1121826171875,333.7251281738281,215.11268526009408,322.6716597409819,0.0,235037.0,2.002394343588662,2.254721310698301,0.0,421.48393316719176
174.0,257610.0,358.34918212890625,357.9321594238281,331.8614807128906,217.39339384137733,327.0687235936025,0.0,238483.0,-14.198978704674346,1.9345419066742693,0.0,421.48393316719176
175.0,258829.0,360.5107421875,357.9967956542969,331.2188720703125,217.945890589424,327.79780351775634,0.0,237907.0,-1.5541101690414507,2.154552510504857,0.0,423.3237987884953
176.0,260121.0,361.5202331542969,359.1243591308594,331.5000915527344,218.57634070053453,328.87687665751145,0.0,239047.0,-1.5069128176202184,2.379611374674255,0.0,423.3237987884953
177.0,260967.0,361.771484375,359.5430603027344,332.0656433105469,219.00653722088757,329.2567387313432,0.0,240518.0,1.452645327087339,2.0365141960218125,0.0,423.3237987884953
178.0,263797.0,364.1974182128906,361.05718994140625,332.5870666503906,220.23627181548446,330.33558693652867,0.0,241998.0,1.9569412346431818,2.1888539556315436,0.0,423.7209812555565
179.0,264495.0,364.7093811035156,361.922119140625,333.62420654296875,220.5221690695341,330.6055050963308,0.0,243906.0,-0.44900585659740955,-1.6809172981811003,0.0,423.7209812555565
180.0,267423.0,368.49810791015625,357.2525329589844,331.68560791015625,221.71832758267996,331.8870289722092,0.0,245411.0,-0.4237157783474004,-1.6103265579516233,0.0,430.756717977938
181.0,267790.0,368.8714599609375,357.93389892578125,332.49249267578125,221.91066349055112,332.2544205875973,0.0,246786.0,0.31876608887375824,0.31760543202011604,0.0,430.756717977938
182.0,268725.0,368.8890686035156,357.9475402832031,332.47802734375,222.40582311549232,333.0015014981164,0.0,247082.0,0.8213231989561791,2.2466304486014224,0.0,430.756717977938
183.0,269356.0,368.8890686035156,357.9475402832031,332.47802734375,222.6488478594246,333.3781636520305,0.0,248855.0,-11.659831645586223,-2.6739927568397093,0.0,430.756717977938
184.0,276412.0,369.01812744140625,358.0470886230469,332.3724670410156,225.14076852443517,338.09022464425084,0.0,248991.0,-22.028489771033605,-0.22935373906881296,0.0,430.756717977938
185.0,276930.0,369.01812744140625,358.0470886230469,332.3724670410156,225.3682452499895,338.58529206095176,0.0,251358.0,1.3085440327240576,2.2288875119436398,0.0,430.756717977938
186.0,279587.0,369.01812744140625,358.0470886230469,332.3724670410156,226.09110865229368,338.64509444041136,0.0,239300.0,27.30736339375983,7.683168736784182,0.0,430.756717977938
187.0,281669.0,371.2880859375,360.4915466308594,332.48272705078125,227.1219654902135,340.0,0.0,254412.0,1.3269276742632883,2.471881129845201,0.0,430.756717977938
188.0,283718.0,371.2880859375,360.4915466308594,332.48272705078125,227.65301367612128,341.55087468779817,0.0,250270.0,-39.71363777211127,-12.46471568326075,0.0,430.756717977938
189.0,285008.0,372.3647766113281,361.7829284667969,332.9170227050781,228.31821267163377,342.89094471718005,0.0,257295.0,2.3826651121046325,2.7371092376568527,0.0,430.756717977938
190.0,286376.0,372.4281921386719,361.90020751953125,333.0616760253906,228.79443748374007,343.20984834354624,0.0,247320.0,22.72237422367482,5.59322397848257,0.0,430.756717977938
191.0,293890.0,372.4281921386719,361.90020751953125,333.0616760253906,230.4435536438772,342.4624796959112,0.0,227320.0,46.52303697859145,15.676304667175202,0.0,430.756717977938
192.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,261182.0,2.0575327290465566,2.4961325488286548,0.0,430.756717977938
193.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,124003.0,-0.8447908255342327,255.41768988523393,1.0,430.756717977938
194.0,294231.0,373.05267333984375,363.0472717285156,334.4766540527344,230.58314738312777,342.49233568066893,0.0,120869.0,0.619549101069083,268.31673779807636,1.0,430.756717977938
