particle,r_px_med,r_um,circ_resid_frac,inlier_frac,r_px_frame_cv,n_meas
1565,7.236799118305574,1.0407240812035246,0.028587541249120607,0.8055555555555556,0.03831705703725377,9
281,7.193169064695774,1.0344496431938992,0.05753955636958,0.9861111111111112,0.13539411000343352,8
3060,7.031855360404799,1.0112511193798142,0.05833647167127636,1.0,0.07634409615389466,9
3548,7.030680854165028,1.0110822136374726,0.06277806139875014,0.9722222222222222,0.35807229917582395,9
1590,7.016876510309843,1.0090970109476585,0.0690325609542887,1.0,0.2149292422039143,9
1291,7.000421676834141,1.0067306413455177,0.058118743272717224,1.0,0.12473957635646733,9
314,6.9988253405295335,1.0065010722215522,0.05604802248491619,0.9722222222222222,0.14552678679249795,9
929,6.936850762895728,0.9975885082120346,1.2429822756068212e-14,0.8888888888888888,0.08936790071805474,9
80,6.9336356670354755,0.9971261452763717,0.02744120485560816,0.8888888888888888,0.13526272867184194,9
3351,6.900742260224194,0.9923957444428414,0.02895858253827776,0.9444444444444444,0.02753673028435239,9
3303,6.859145037028696,0.9864136477750968,0.05911478675265024,1.0,0.07749329522562112,9
1569,6.700083031517803,0.9635389407625752,0.05715724197053675,1.0,0.1835468040514615,9
44,6.685576209188431,0.9614527146433882,0.0488647322638179,0.9722222222222222,0.040712945364437335,9
1816,6.681285065841813,0.960835605318711,0.06592898832596802,1.0,0.08135159478516155,9
3491,6.660868311489679,0.9578994718753308,0.033235220737171306,0.8055555555555556,0.12336474005827752,9
312,6.596472239179786,0.948638672716445,0.08175252735027674,1.0,0.4351710197935215,9
996,6.500000000000004,0.9347650000000006,4.789245231784287e-15,0.8888888888888888,0.015541925960859258,9
1064,6.499999999999982,0.9347649999999974,0.024539529007981946,0.8888888888888888,0.006998423124418015,9
3612,6.499999999999962,0.9347649999999945,6.04424305881234e-15,0.8333333333333334,0.006087818343662468,9
3452,6.396737805525591,0.9199148638126352,0.04855782951984298,1.0,0.08017532511555502,9
800,6.383776917145966,0.9180509584547614,0.05616621567791413,0.9166666666666666,0.0698003778090508,9
2666,6.370443915764164,0.9161335395260444,0.04728377913697824,0.9722222222222222,0.4757493084721327,9
3355,6.362305452585738,0.914963147136355,0.04251778243620423,1.0,0.12204796849514604,9
1686,6.137310275316324,0.8826065906932404,0.08954950607649428,1.0,0.04190311504963595,9
1120,6.109434605442183,0.8785977906086403,0.024694694598822866,0.8055555555555556,0.03798965289888949,9
325,6.091053622476924,0.8759544214484064,0.06106468230130527,0.9722222222222222,0.03667078352019389,9
1881,6.060789654552793,0.8716021602212372,0.12072982575563085,1.0,0.019031683589572693,9
2394,6.024051633767454,0.8663188654520975,0.12991397390023543,1.0,0.019563317593421226,9
2777,5.999999999999986,0.862859999999998,9.729989713652109e-15,0.9444444444444444,0.14459933152455132,9
2298,5.956496441169171,0.8566037532045384,0.1051348193614824,1.0,0.02867970075724438,9
767,5.926752231306791,0.8523262383842296,0.0746762232095962,1.0,0.5436350605745135,9
846,5.822406818202825,0.8373203245257481,0.07365180911114487,1.0,0.4646879189781638,9
2280,5.542747955024963,0.7971025834121399,0.02477142254960298,0.9166666666666666,0.22626623956989014,9
1721,5.342815416432268,0.7683502850371244,0.0399862543095718,0.8888888888888888,0.05136297746223305,9
2630,5.311141850865029,0.7637953095728998,0.04551262573804954,0.9722222222222222,0.041536479376812964,9
2241,5.269788031807994,0.7578482168543076,6.9711790832025946e-15,1.0,0.19975311587275899,9
685,5.000000000000023,0.7190500000000033,6.665602848840629e-15,0.9444444444444444,0.03838151760067243,9
3165,4.756664045679211,0.6840558564091274,0.0425552660537364,1.0,0.05499771273005097,9
2797,4.74275214323132,0.6820551857180962,0.05601880379035599,0.9722222222222222,0.23823183821801588,9
2011,4.672629945868277,0.6719709125153168,0.04814509658408132,1.0,0.13853789810135927,9
1925,4.499999999999823,0.6471449999999745,0.04636340101121971,0.9722222222222222,0.21036007379788565,9
1401,4.159339724902543,0.5981546458382346,0.03589087976186625,0.9722222222222222,0.05997204767485027,9
2130,4.116565532736093,0.5920032892627776,0.045855035160153955,1.0,0.08275430174690417,9
3082,4.050709601258335,0.5825325477569612,0.04277400951970355,0.9722222222222222,0.058683367999474226,9
