particle,keep,proposed,reason,R_px_med,sym_med
1700,0,reject,not-round;elongated,14.43066913319437,0.654668915
4347,0,reject,short;two-cores;not-round,10.611998432564658,0.65232415
6086,0,reject,not-round,9.965451605586026,0.64455
6804,0,reject,two-cores;not-round;elongated,16.848021729201548,0.6302818
6951,0,reject,two-cores;not-round,13.879911900405697,0.6291785750000001
7592,0,reject,not-round;elongated;mislink,12.307999162885018,0.62219304
5070,0,reject,two-cores;not-round;elongated,8.953780137094133,0.61610377
2237,0,reject,not-round;elongated,13.196946458704907,0.61558152
1179,0,reject,two-cores;not-round;elongated,15.942376149462406,0.61307333
6214,0,reject,short;not-round,9.995323755954075,0.60778624
94,0,reject,not-round;elongated,11.75856164601359,0.6071130899999999
3853,0,reject,not-round;mislink,12.37086116108623,0.60655912
3427,0,reject,not-round,12.763926122409838,0.6047797
1821,0,reject,two-cores;not-round,14.490104971270572,0.592046575
900,0,reject,not-round,9.719330370432884,0.5918164
3844,0,reject,not-round;elongated,12.87695126384148,0.58705312
6872,0,reject,not-round;elongated;mislink,10.53276010120384,0.5821641
4847,0,reject,short;two-cores;not-round;elongated,11.690328452350364,0.577381625
6365,0,reject,not-round;elongated;defocus;mislink,8.479801414874284,0.575852305
2221,0,reject,not-round;elongated,16.645058181291308,0.57253735
5629,0,reject,not-round;elongated,11.767051020986866,0.56790787
85,0,reject,not-round;elongated,14.819235308590644,0.5599529
598,0,reject,not-round;elongated;mislink,13.175783595476702,0.5590317
1754,0,reject,two-cores;not-round,14.36244242561931,0.5557893
1827,0,reject,not-round;elongated;mislink,12.655766202894286,0.55107856
7774,0,reject,two-cores;not-round;elongated,17.906687686617992,0.5469455750000001
8012,0,reject,rigid-doublet;not-round,11.371713615968243,0.545863
7226,0,reject,not-round;elongated,19.466540782945398,0.540524985
5547,0,reject,short;rigid-doublet;not-round,11.01768326941114,0.5291618
4637,0,reject,not-round;elongated;mislink,16.514686698517842,0.5248787
6493,0,reject,two-cores;not-round;elongated,12.576507909557224,0.52074808
4523,0,reject,not-round;elongated;mislink,11.983534855854032,0.5190054
6808,0,reject,not-round;elongated;mislink,12.692304865765044,0.517903365
6165,0,reject,not-round;elongated,17.699933230093247,0.50460064
2189,0,reject,short;not-round;elongated,12.263968679175909,0.49537666
4526,0,reject,not-round,12.246339482830276,0.4894303949999999
1484,0,reject,not-round;elongated,18.004531406636158,0.4890333
1578,0,reject,short;two-cores;not-round;elongated,11.418389944983492,0.48824003
174,0,reject,not-round;elongated;mislink,10.211385896521058,0.48782691
308,0,reject,short;not-round;elongated,9.125523787773645,0.48458084
734,0,reject,not-round;elongated,11.071700863308877,0.4806651
5757,0,reject,not-round;elongated,8.939751874020681,0.46952045
2637,0,reject,not-round,12.332428079921725,0.468142045
5120,0,reject,not-round;elongated,12.79116651557131,0.4672871
4731,0,reject,rigid-doublet;two-cores;not-round,14.130450691649896,0.463400305
2723,0,reject,not-round,12.694044077944069,0.4632555
1689,0,reject,not-round;mislink,13.765909174258034,0.462365035
587,0,reject,two-cores;not-round;mislink,12.87481555071956,0.4619997
7481,0,reject,not-round;elongated,13.540932094705791,0.4612912
3306,0,reject,not-round;elongated,11.004114096927726,0.46013162
3278,0,reject,not-round;mislink,12.924854608797418,0.45719913
423,0,reject,not-round;elongated,11.039167034674987,0.455121125
3686,0,reject,not-round,10.93540698483285,0.4532350349999999
77,0,reject,not-round;elongated;mislink,15.057795716916772,0.44318604
1934,0,reject,short;not-round;elongated,11.139469230167062,0.43365601
5337,0,reject,not-round;elongated,9.067646146779063,0.4297301
61,0,reject,not-round;elongated;mislink,12.605273409093297,0.429720985
4808,0,reject,not-round;elongated,15.842762882190712,0.4294965
6668,0,reject,not-round,12.112896451974322,0.42774644
610,0,reject,not-round;elongated,9.797870688721249,0.42746195
1797,0,reject,two-cores;not-round;elongated,7.423816064004473,0.42642984
5781,0,reject,not-round;mislink,11.664125044709776,0.4252931
3328,0,reject,not-round,10.82976283328361,0.42283127
3752,0,reject,two-cores;not-round;elongated,9.255664597070586,0.4199190149999999
5044,0,reject,two-cores;not-round;elongated,10.646535129156032,0.41821232
5675,0,reject,not-round,11.583458132220102,0.41640446
3044,0,reject,not-round,11.897698819355256,0.41477027
5961,0,reject,not-round;elongated,11.034787433001236,0.41341284
4917,0,reject,not-round;elongated,10.1580905320703,0.40895175
8096,0,reject,not-round;elongated,11.603968377380136,0.40635887
1922,0,reject,not-round;elongated,8.632976030065253,0.399808225
2417,0,reject,two-cores;not-round,10.4374058678605,0.39913294
574,0,reject,two-cores;not-round;elongated;defocus,19.80517916589434,0.3990594
960,0,reject,not-round;mislink,10.122317547921869,0.3982124
2948,0,reject,not-round,11.699086973330049,0.39349544
744,0,reject,not-round,12.18244634636375,0.39276752
102,0,reject,not-round;elongated,11.299253855631566,0.3857942
5318,0,reject,not-round;elongated;mislink,10.1668883950441,0.38143302
4909,0,reject,not-round;elongated,12.839569162435495,0.381103925
3066,0,reject,short;two-cores;not-round;elongated,12.064814765937212,0.37813151
4321,0,reject,not-round;elongated,12.74539357982029,0.37796784
7839,0,reject,not-round;elongated,11.67045587710404,0.37646306
5469,0,reject,not-round;elongated,13.739874164881662,0.37342651
83,0,reject,not-round;elongated,14.250256402787992,0.3729597
4782,0,reject,two-cores;not-round;elongated,19.71559098326401,0.37288229
1535,0,reject,not-round;elongated,10.294527402920943,0.3719972
1936,0,reject,not-round;mislink,10.805463902189867,0.3711655
2724,0,reject,short;not-round,12.109921701538164,0.37053594
3364,0,reject,not-round;elongated;defocus,12.303506935990756,0.37023768
1167,0,reject,two-cores;not-round;elongated;mislink,12.421573573953694,0.369912995
390,0,reject,two-cores;not-round;elongated,12.919903804409318,0.3687545
7699,0,reject,not-round;elongated,10.568918551244597,0.36535179
3914,0,reject,rigid-doublet;not-round;elongated,14.837189595328953,0.36514905
8217,0,reject,two-cores;not-round;elongated;mislink,15.534984967192678,0.36513341
4370,0,reject,two-cores;not-round;elongated,10.920458130887278,0.36022857
3439,0,reject,short;not-round,12.689631065220604,0.35967454
4769,0,reject,not-round;elongated,14.80245233710794,0.35875985
2386,0,reject,two-cores;not-round;elongated;mislink,12.132475540675625,0.35824432
7472,0,reject,not-round;elongated,12.388383906370452,0.353943
79,0,reject,not-round,10.578980788245085,0.3535348
84,0,reject,not-round;elongated;mislink,11.75684822925916,0.34845756
5086,0,reject,not-round;elongated,13.257115672994518,0.34397444
7493,0,reject,not-round,12.179977302642884,0.34213457
1958,0,reject,not-round,9.95336714715605,0.3405179
6467,0,reject,two-cores;not-round;elongated,22.501785536320117,0.339675515
287,0,reject,two-cores;not-round;elongated;defocus,10.3691758203977,0.33831168
3876,0,reject,not-round;elongated;mislink,11.414256327635554,0.33793938
2526,0,reject,two-cores;not-round;elongated,9.606714169036264,0.33647704
6976,0,reject,not-round;elongated,12.54393930828393,0.3348942
7134,0,reject,not-round;elongated,18.81629612011953,0.3346833
