particle,keep,type,note,source,proposed,reason,x_med,y_med,R_px_med,sym_med
1133,0,reject,,auto,reject,two-cores;not-round;elongated,1428.1212158203125,414.19297790527344,18.987773940155204,0.366727885
2061,0,reject,,auto,reject,short;two-cores;not-round;elongated;defocus,1559.076904296875,825.7959594726562,24.29318831253829,0.36297396
1728,0,reject,,auto,reject,not-round;elongated;defocus,1573.9860229492188,833.7255249023438,24.449132362536037,0.36095168
3388,0,reject,,auto,reject,short;not-round;elongated,1184.199951171875,726.9473876953125,16.337216457519084,0.35878188
3393,0,reject,,auto,reject,short;not-round;elongated,1204.56689453125,737.1828002929688,16.78760664078115,0.3558379
5983,0,reject,,auto,reject,rigid-doublet;not-round;elongated,1406.677490234375,412.62689208984375,12.126070687961846,0.35547367
1383,0,reject,,auto,reject,not-round;elongated,1605.5899047851562,814.254638671875,17.399808650979114,0.355025185
1105,0,reject,,auto,reject,not-round;elongated,1589.8596801757812,857.830078125,17.595739208073603,0.354675115
1454,0,reject,,auto,reject,not-round;mislink,1610.982666015625,833.7972412109375,16.311809455122926,0.347379
5483,0,reject,,auto,reject,short;not-round;elongated,1444.08740234375,439.1142578125,16.844527236070363,0.34339893
4387,0,reject,,auto,reject,not-round;elongated,1595.1277465820312,854.232666015625,26.689732074949934,0.3432908999999999
1094,0,reject,,auto,reject,two-cores;not-round,1568.043701171875,856.1495361328125,21.364526383048435,0.34225562
6047,0,reject,,auto,reject,short;not-round;elongated,1191.4073486328125,756.9337768554688,19.37362023820484,0.34062192
2434,0,reject,,auto,reject,not-round;elongated,1586.202392578125,854.42138671875,19.556320411913816,0.3367101
1145,0,reject,,auto,reject,two-cores;not-round;elongated;defocus,1574.860107421875,839.751953125,13.351705996199756,0.33414057
4093,0,reject,,auto,reject,short;not-round;elongated,1575.61767578125,851.943115234375,28.02485934292428,0.3315525
869,0,reject,,auto,reject,rigid-doublet;not-round;elongated,1443.6426391601562,391.0439910888672,11.817384448361448,0.3252507
4746,0,reject,,auto,reject,not-round;elongated,711.2137451171875,498.6974182128906,17.049914719680363,0.32430068
564,0,reject,,auto,reject,not-round;elongated;defocus,189.2506561279297,462.94602966308594,17.666981871142042,0.323450315
