particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
1001,166,11.427750138646958,0.1978240908541061,0.26799879157510414,0.29138044208937147,0.4438146779221676,1.0,0.46153846153846156,0.9791666666666666,13,1236.17919921875,1166.331787109375,0.37071848,-1,-1,,,1.9916162079069768,7.669031980882898,False,two-cores;not-round,reject
259,85,22.57333171294802,0.08254973583626536,0.26978727678190983,0.28020663758199427,0.4856688127033102,1.0,0.0,0.9895833333333333,6,1049.58349609375,298.1516418457031,0.36778975,1,-1,,,1.3349266371807935,7.210438903405413,False,not-round;elongated,reject
480,149,15.571931737549761,0.18634957745795167,0.28471764087471774,0.3259292659087034,0.6073608188689301,1.0,0.16666666666666666,0.9791666666666666,12,1050.6204833984375,259.9372863769531,0.3651155,1,-1,,,0.5763176219823319,8.27877440663481,True,not-round;elongated;mislink,reject
716,109,19.054589999839873,0.032635680903977025,0.10341112808814092,0.28924632355754293,0.4815296126890873,1.0,0.1111111111111111,0.7708333333333334,9,1033.8740234375,295.6434936523437,0.36315164,1,-1,,,0.650320995160231,3.3081977044508686,False,not-round;elongated,reject
350,74,16.647475355061868,0.1527577612784983,0.20561034280288953,0.2936274610786732,0.5354841174097542,2.0,0.6666666666666666,0.8958333333333334,6,1079.3778686523438,304.2649230957031,0.36171606,1,-1,,,0.6108286505997373,1.6651050702768138,False,two-cores;not-round;elongated,reject
1791,51,12.464896653567575,0.09628529690440404,0.16566627401948048,0.2637580456756463,0.4476572701727197,1.5,0.5,0.9270833333333334,4,603.912353515625,151.52220153808594,0.3599318,-1,-1,,,1.794218346396661,7.88797912108321,False,short;two-cores;not-round,reject
2129,64,10.083815648816751,0.07356980073854275,0.11435086642719189,0.16653948837813737,0.5155646774473381,1.0,0.4,0.9375,5,1214.9011840820312,502.04075622558594,0.358107025,1,-1,,,2.172050374904848,6.65354245767344,False,two-cores;not-round;elongated,reject
255,124,28.644124146065238,0.08877497616278186,0.37857317952519487,0.44731840420494895,0.42005268295853015,1.0,0.4,0.9895833333333333,10,978.152099609375,274.23439025878906,0.35117432,1,-1,,,1.1968974235787802,6.330759934999084,False,two-cores;not-round,reject
589,150,16.386354856195872,0.07607349190143187,0.13555644825088803,0.369904319874181,0.6986676254195663,2.0,0.75,0.78125,12,620.8008117675781,857.611083984375,0.349873345,-1,-1,,,1.3028606227077129,5.1392369450112625,False,two-cores;not-round;elongated,reject
1273,57,20.024527494964055,0.02532970391500302,0.19102134206895582,0.2781288837671251,0.6018481059405676,1.0,0.0,0.8958333333333333,4,1037.917236328125,295.9035949707031,0.34897408,1,-1,,,0.8095121274569141,3.9917737068727317,False,short;not-round;elongated,reject
1988,192,20.507816612406486,0.04717826329647385,0.23595292472267204,0.2729388801032556,0.4969506205964666,1.0,0.4666666666666667,0.9375,15,1124.5242309570312,281.1205749511719,0.34579424999999997,-1,-1,,,1.0754991713145523,4.686300912813661,False,two-cores;not-round;elongated,reject
1931,196,14.669828582177088,0.1879454878396523,0.2967493251058919,0.3939807015337391,0.6880716161769305,1.0,0.4375,0.9270833333333333,16,1003.7567749023438,250.0336151123047,0.34471925000000003,-1,-1,,,0.9583849797859263,8.14446029429201,True,two-cores;not-round;elongated;mislink,reject
415,231,15.33775732315162,0.08023485662723048,0.23133210273800484,0.33119288811153863,0.6808063436047924,1.0,0.2631578947368421,0.9166666666666666,19,1058.179443359375,249.6612091064453,0.3435928,-1,-1,,,0.6053583750186701,2.5691097838659287,False,not-round;elongated,reject
1731,249,11.122501779093021,0.09393027996506265,0.17466298353800636,0.2707976874006195,0.5403905236604976,1.0,0.05555555555555555,0.8854166666666667,18,626.3677978515625,866.2863159179688,0.3429642,-1,-1,,,1.208434995996908,7.0609091363658845,False,not-round;elongated,reject
61,149,14.632633014131558,0.05484015212255197,0.12178391807873055,0.25145635692792123,0.45236143041719434,1.0,0.0,0.7916666666666667,12,1026.00927734375,235.1907196044922,0.3375248,1,-1,,,0.9407424845815768,3.5391451492299812,False,not-round;elongated,reject
71,260,18.276326500982165,0.026059623579912376,0.20373590647372417,0.301346654254067,0.6161268894081855,1.0,0.2857142857142857,0.8958333333333334,21,1052.4605712890625,312.68072509765625,0.336822795,-1,-1,,,0.7055237513093305,2.6487224016474085,False,not-round;elongated,reject
1651,282,13.0528217613385,0.19688983871321084,0.12369689321094901,0.20124690348460286,0.46477314148166127,1.0,0.045454545454545456,0.90625,22,1055.6727905273438,249.33383178710938,0.335825145,1,-1,,,0.7609960151145312,6.189848465167943,True,not-round;elongated;mislink,reject
