t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
120.0,29260.0,181.8991241455078,387.0,322.5,100.33965549437526,202.51592515962292,0.0,17845.0,0.9773167099381226,-0.4516838121028286
121.0,29527.0,181.8991241455078,387.0,322.5,100.64569910411791,203.00172412747145,0.0,20367.0,0.8868550585490311,-0.5115478384912535
122.0,29884.0,181.8991241455078,387.0,322.5,101.20821211448043,204.55170388220185,0.0,20331.0,1.0285545567827512,-0.4754004014787938
123.0,30232.0,181.8991241455078,387.0,322.5,101.79984971076229,206.4304955083879,0.0,20501.0,1.004351048718604,-0.5903442788118696
124.0,30532.0,181.8991241455078,387.0,322.5,102.21171588066856,207.24574778979294,0.0,19423.0,1.0098479052393259,-0.546213314911256
125.0,30812.0,181.8991241455078,387.0,322.5,102.5371635049378,207.87015177749788,0.0,20234.0,0.927962404904747,-0.505493104627476
126.0,31089.0,181.8991241455078,387.0,322.5,102.88987710075942,208.5761251090834,0.0,20517.0,0.9541940288710293,-0.4624402965151262
127.0,31437.0,181.8991241455078,387.0,322.5,103.47149807644881,209.5810103273157,0.0,21250.0,1.035047615931603,-0.5129209082793977
128.0,31785.0,181.90003967285156,387.5,322.21112060546875,104.08773195407413,210.64140143641868,0.0,20828.0,0.8998359411530146,-0.2871628644594466
129.0,32099.0,181.90586853027344,388.3591003417969,321.7147216796875,104.59196062258039,211.482859825566,0.0,21105.0,0.9460711351715645,-0.335122408746372
130.0,32350.0,181.9171600341797,389.2182312011719,321.2183532714844,104.97292831682684,212.1691541332925,0.0,20566.0,0.8848034719101179,-0.4033574046186459
131.0,32620.0,183.29385375976562,387.6875,320.5,105.39381275989228,212.51435242617572,0.0,21281.0,1.0302877960027672,-0.4044594828708341
132.0,32895.0,183.6143341064453,388.4230651855469,319.718505859375,105.84199802056746,213.00938946440834,0.0,21165.0,0.9194056412793543,-0.45934217701687885
133.0,33088.0,183.62936401367188,388.7841796875,319.4999694824219,106.11809961531297,213.49004660639335,0.0,21783.0,0.9997991293712403,-0.32867571041958854
134.0,33309.0,183.62936401367188,388.7841796875,319.4999694824219,106.45750110718579,213.89623641566934,0.0,22199.0,1.0620042277479342,-0.3725840247401493
135.0,33511.0,183.66746520996094,389.61053466796875,319.0,106.76427551843747,214.45046047980406,0.0,20878.0,0.9248715522516022,-0.3076789388708221
136.0,33786.0,184.46664428710938,390.1024169921875,319.6326904296875,107.19795251117743,215.07673049402624,0.0,21920.0,0.9047801079581177,-0.36394905098444497
137.0,34072.0,184.9673309326172,390.12689208984375,320.21728515625,107.65909873983588,215.42133132074005,0.0,21524.0,0.8884228648385033,-0.3099178810214198
138.0,34346.0,184.9673309326172,390.12689208984375,320.21728515625,108.06548044338119,215.8199479906479,0.0,21090.0,0.9191341286095849,-0.4871725915793945
139.0,34692.0,184.97679138183594,390.4579162597656,320.0089111328125,108.56504898777327,216.40009242142204,0.0,22175.0,0.9331334913796354,-0.332525645800672
140.0,34975.0,184.97679138183594,390.4579162597656,320.0089111328125,108.91351711242353,216.453228204155,0.0,22482.0,1.086644031375954,-0.35298722161110163
141.0,35306.0,187.6288604736328,391.0594177246094,322.7906799316406,109.43913638575383,216.92222097144838,0.0,22505.0,1.0219838763316602,-0.31142704506152086
142.0,35607.0,187.6288604736328,391.0594177246094,322.7906799316406,109.8607903528094,217.1831024094039,0.0,21982.0,0.9406732542022382,-0.42743503817820283
143.0,35898.0,188.08370971679688,391.5523681640625,323.0106506347656,110.30978664524119,217.9119087825634,0.0,22350.0,0.9382299053760335,-0.3672440454509456
144.0,36288.0,188.08370971679688,391.5523681640625,323.0106506347656,110.90628616934961,218.59608864351483,0.0,22756.0,0.9290300185770093,-0.37145541280102634
145.0,36696.0,188.10719299316406,391.972412109375,322.7610168457031,111.48716852164073,219.10043359153812,0.0,23327.0,0.9677883336229343,-0.38916780966115994
146.0,37343.0,189.372802734375,390.2308044433594,322.32696533203125,112.54699231380006,219.80423107741646,0.0,23396.0,0.9307598190683848,-0.35797659421405115
147.0,37886.0,190.54066467285156,390.1399841308594,323.05999755859375,113.44763139057372,220.61334944378527,0.0,23698.0,0.844313850338267,-0.45038751601975946
148.0,38451.0,191.4804229736328,390.5044860839844,324.09478759765625,114.42759551836518,221.5637602270457,0.0,23908.0,0.7839413726416069,-0.4635215971985076
149.0,38745.0,192.05563354492188,390.15582275390625,324.74365234375,114.91680848186071,222.0495440211486,0.0,23787.0,0.9177683753604242,-0.4190478589304121
150.0,39015.0,192.05975341796875,390.2580261230469,324.62200927734375,115.31422775517807,222.43628299009671,0.0,24573.0,0.9279217937624935,-0.4662425392472187
151.0,39266.0,192.07102966308594,390.5226745605469,324.3070068359375,115.72921527661653,223.17705961806712,0.0,24225.0,0.8907630140344054,-0.4070395799548123
152.0,39503.0,192.44679260253906,390.84912109375,324.5000305175781,116.09108753358406,223.80571931923456,0.0,23672.0,0.8977286549508108,-0.3062785377305772
