t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,edge,n_comp
298.5,346636.0,289.7626797190697,431.1704999185357,524.5493303779922,494.1981201171875,356.8779296875,494.5249938964844,1.0,6.0
299.0,347546.0,290.0345832435328,431.4565447175456,524.4520950477746,493.1792297363281,357.4400329589844,495.5948791503906,1.0,5.0
299.5,347165.0,290.42636150434697,432.11526240014143,523.8940732629069,494.3285217285156,359.55926513671875,495.56573486328125,1.0,3.0
300.0,347663.0,290.5757758395678,432.4186628718511,524.6503597635286,493.75872802734375,358.8871154785156,496.2682189941406,1.0,4.0
300.5,347350.0,290.9028442332689,432.96189193503864,524.6503597635286,494.1557922363281,358.8735656738281,495.9660949707031,1.0,4.0
301.0,347990.0,291.16251246709055,433.3969888835376,524.7551810130129,492.9030456542969,358.2604064941406,496.5460510253906,1.0,5.0
301.5,347365.0,291.4416277757083,433.78911927340914,525.4074609291345,492.02703857421875,357.6488037109375,497.4561767578125,1.0,3.0
302.0,348161.0,291.7097474102707,434.1658669218482,525.4074609291345,491.5858154296875,357.7830505371094,497.87353515625,1.0,5.0
302.5,347369.0,291.94372595724724,434.62282498736766,526.0608329841712,490.2831115722656,357.0163269042969,498.99700927734375,1.0,4.0
303.0,348050.0,292.2377567943501,434.9678149012867,526.1653732430518,490.2868957519531,356.9570007324219,499.0301513671875,1.0,4.0
303.5,347370.0,292.4286429503336,435.4050413117349,526.1653732430518,490.62481689453125,357.421630859375,499.0887756347656,1.0,6.0
304.0,348123.0,292.74233492891295,435.92889328421444,526.924093205084,489.516845703125,356.7373046875,500.2038269042969,1.0,5.0
304.5,347745.0,293.03885198397785,436.28545701180553,526.924093205084,489.3124694824219,356.88604736328125,500.45538330078125,1.0,5.0
305.0,348305.0,293.31766172133325,436.6163075284639,526.924093205084,489.21209716796875,356.747802734375,500.4383850097656,1.0,3.0
305.5,348686.0,293.3664623248762,437.0286031829038,527.683617331446,490.3317565917969,357.2229919433594,500.6651611328125,1.0,4.0
306.0,348330.0,293.70526091547094,437.5065713792194,528.3341745524323,489.4065246582031,356.1161804199219,501.28509521484375,1.0,4.0
306.5,347845.0,294.1445776060096,437.85842460777206,528.4439421547,488.085693359375,355.95379638671875,502.25274658203125,1.0,5.0
307.0,349256.0,294.53014425671375,437.9326432226764,528.7958017987662,488.84765625,356.32928466796875,502.2095031738281,1.0,6.0
307.5,348220.0,294.66275887428907,438.6992135848889,529.2050642236901,489.5378723144531,356.8793029785156,502.5260925292969,1.0,3.0
308.0,348812.0,294.8384621721796,438.6992135848889,529.7442779303992,489.0555419921875,356.15496826171875,502.9849548339844,1.0,5.0
308.5,348330.0,295.16748006889117,439.2605718526153,529.8537534074851,489.5400390625,357.18212890625,503.388427734375,1.0,5.0
309.0,349062.0,295.3717290636904,439.66009598324933,529.9669801034778,490.70343017578125,358.2789001464844,503.33050537109375,1.0,2.0
309.5,348198.0,295.7188589946895,440.028408173836,530.6147378277388,491.32080078125,359.300537109375,504.2152404785156,1.0,6.0
310.0,347483.0,296.2709901366178,440.6472512112154,530.6147378277388,491.6772155761719,360.2201843261719,504.56390380859375,1.0,6.0
310.5,348916.0,296.4129142730737,440.83216761030496,530.6147378277388,492.2528991699219,361.1293640136719,504.74444580078125,1.0,7.0
311.0,347326.0,296.75019423980615,441.6016304317728,531.3605179160379,492.5204162597656,360.9823913574219,505.04962158203125,1.0,8.0
311.5,347864.0,297.00505652071604,441.88799485842566,531.0489619611359,491.999755859375,361.0627136230469,505.42364501953125,1.0,6.0
312.0,347603.0,297.3036093184908,442.5573409175358,532.1325022961856,492.6876220703125,361.3725280761719,505.863037109375,1.0,9.0
312.5,348333.0,297.55386068939924,442.90405281505383,531.4978833447975,491.740234375,361.3302307128906,505.9298400878906,1.0,9.0
313.0,347602.0,297.76119654568146,443.2649884656537,532.1325022961856,491.5927429199219,361.04248046875,506.44927978515625,1.0,9.0
313.5,348475.0,298.08132333016067,443.80626403871315,532.4593881226999,491.71337890625,361.1900939941406,507.13372802734375,1.0,7.0
